State,date,cases,dailyCases,deaths,dailyDeaths
Alabama,2020-03-13,6,,0,
Alabama,2020-03-14,12,6,0,0
Alabama,2020-03-15,23,11,0,0
Alabama,2020-03-16,29,6,0,0
Alabama,2020-03-17,39,10,0,0
Alabama,2020-03-18,51,12,0,0
Alabama,2020-03-19,78,27,0,0
Alabama,2020-03-20,106,28,0,0
Alabama,2020-03-21,131,25,0,0
Alabama,2020-03-22,157,26,0,0
Alabama,2020-03-23,196,39,0,0
Alabama,2020-03-24,242,46,0,0
Alabama,2020-03-25,386,144,1,1
Alabama,2020-03-26,538,152,3,2
Alabama,2020-03-27,639,101,4,1
Alabama,2020-03-28,720,81,4,0
Alabama,2020-03-29,830,110,5,1
Alabama,2020-03-30,947,117,11,6
Alabama,2020-03-31,999,52,14,3
Alabama,2020-04-01,1108,109,28,14
Alabama,2020-04-02,1270,162,32,4
Alabama,2020-04-03,1535,265,38,6
Alabama,2020-04-04,1632,97,44,6
Alabama,2020-04-05,1840,208,45,1
Alabama,2020-04-06,2005,165,53,8
Alabama,2020-04-07,2197,192,64,11
Alabama,2020-04-08,2498,301,67,3
Alabama,2020-04-09,2838,340,78,11
Alabama,2020-04-10,3008,170,80,2
Alabama,2020-04-11,3262,254,93,13
Alabama,2020-04-12,3583,321,93,0
Alabama,2020-04-13,3805,222,104,11
Alabama,2020-04-14,3953,148,114,10
Alabama,2020-04-15,4241,288,123,9
Alabama,2020-04-16,4404,163,137,14
Alabama,2020-04-17,4572,168,151,14
Alabama,2020-04-18,4723,151,147,0
Alabama,2020-04-19,4903,180,160,13
Alabama,2020-04-20,5078,175,164,4
Alabama,2020-04-21,5327,249,186,22
Alabama,2020-04-22,5610,283,201,15
Alabama,2020-04-23,5832,222,197,0
Alabama,2020-04-24,6026,194,209,12
Alabama,2020-04-25,6213,187,213,4
Alabama,2020-04-26,6421,208,219,6
Alabama,2020-04-27,6539,118,228,9
Alabama,2020-04-28,6750,211,242,14
Alabama,2020-04-29,6925,175,262,20
Alabama,2020-04-30,7068,143,272,10
Alabama,2020-05-01,7294,226,289,17
Alabama,2020-05-02,7611,317,288,0
Alabama,2020-05-03,7888,277,290,2
Alabama,2020-05-04,8112,224,298,8
Alabama,2020-05-05,8437,325,315,17
Alabama,2020-05-06,8691,254,343,28
Alabama,2020-05-07,9046,355,369,26
Alabama,2020-05-08,9385,339,383,14
Alabama,2020-05-09,9668,283,390,7
Alabama,2020-05-10,9889,221,393,3
Alabama,2020-05-11,10164,275,403,10
Alabama,2020-05-12,10464,300,435,32
Alabama,2020-05-13,10700,236,450,15
Alabama,2020-05-14,11101,401,473,23
Alabama,2020-05-15,11373,272,483,10
Alabama,2020-05-16,11674,301,485,2
Alabama,2020-05-17,11771,97,488,3
Alabama,2020-05-18,12086,315,489,1
Alabama,2020-05-19,12376,290,504,15
Alabama,2020-05-20,13052,676,522,18
Alabama,2020-05-21,13414,362,529,7
Alabama,2020-05-22,13670,256,541,12
Alabama,2020-05-23,14149,479,549,8
Alabama,2020-05-24,14478,329,551,2
Alabama,2020-05-25,14986,508,566,15
Alabama,2020-05-26,15650,664,580,14
Alabama,2020-05-27,16032,382,583,3
Alabama,2020-05-28,16530,498,591,8
Alabama,2020-05-29,17031,501,610,19
Alabama,2020-05-30,17359,328,618,8
Alabama,2020-05-31,17952,593,630,12
Alabama,2020-06-01,18534,582,646,16
Alabama,2020-06-02,18771,237,653,7
Alabama,2020-06-03,18851,80,653,0
Alabama,2020-06-04,19072,221,653,0
Alabama,2020-06-05,19387,315,676,23
Alabama,2020-06-06,20043,656,689,13
Alabama,2020-06-07,20500,457,692,3
Alabama,2020-06-08,20925,425,718,26
Alabama,2020-06-09,21422,497,729,11
Alabama,2020-06-10,21989,567,744,15
Alabama,2020-06-11,22845,856,755,11
Alabama,2020-06-12,23710,865,769,14
Alabama,2020-06-13,24601,891,773,4
Alabama,2020-06-14,25615,1014,773,0
Alabama,2020-06-15,26272,657,774,1
Alabama,2020-06-16,26912,640,785,11
Alabama,2020-06-17,27312,400,790,5
Alabama,2020-06-18,28206,894,810,20
Alabama,2020-06-19,29002,796,822,12
Alabama,2020-06-20,29549,547,838,16
Alabama,2020-06-21,30021,472,839,1
Alabama,2020-06-22,30454,433,841,2
